,date,day,personnel
0,2022-02-25,2,2800
1,2022-02-26,3,4300
2,2022-02-27,4,4500
3,2022-02-28,5,5300
4,2022-03-01,6,5710
5,2022-03-02,7,5840
6,2022-03-03,8,9000
7,2022-03-04,9,9166
8,2022-03-05,10,10000
9,2022-03-06,11,11000
10,2022-03-07,12,11000
11,2022-03-08,13,12000
12,2022-03-09,14,12000
13,2022-03-10,15,12000
14,2022-03-11,16,12000
15,2022-03-12,17,12000
16,2022-03-13,18,12000
17,2022-03-14,19,12000
18,2022-03-15,20,13500
19,2022-03-16,21,13800
20,2022-03-17,22,14000
21,2022-03-18,23,14200
22,2022-03-19,24,14400
23,2022-03-20,25,14700
24,2022-03-21,26,15000
25,2022-03-22,27,15300
26,2022-03-23,28,15600
27,2022-03-24,29,15800
28,2022-03-25,30,16100
29,2022-03-26,31,16400
30,2022-03-27,32,16600
31,2022-03-28,33,17000
32,2022-03-29,34,17200
33,2022-03-30,35,17300
34,2022-03-31,36,17500
35,2022-04-01,37,17700
36,2022-04-02,38,17700
37,2022-04-03,39,18000
38,2022-04-04,40,18300
39,2022-04-05,41,18500
40,2022-04-06,42,18600
41,2022-04-07,43,18900
42,2022-04-08,44,19000
43,2022-04-09,45,19100
44,2022-04-10,46,19300
45,2022-04-11,47,19500
46,2022-04-12,48,19600
47,2022-04-13,49,19800
48,2022-04-14,50,19900
49,2022-04-15,51,20000
50,2022-04-16,52,20100
51,2022-04-17,53,20300
52,2022-04-18,54,20600
53,2022-04-19,55,20800
54,2022-04-20,56,20900
55,2022-04-21,57,21000
56,2022-04-22,58,21200
57,2022-04-23,59,21600
58,2022-04-24,60,21800
59,2022-04-25,61,21900
60,2022-04-26,62,22100
61,2022-04-27,63,22400
62,2022-04-28,64,22800
63,2022-04-29,65,23000
64,2022-04-30,66,23200
65,2022-05-01,67,23500
66,2022-05-02,68,23800
67,2022-05-03,69,24200
68,2022-05-04,70,24500
69,2022-05-05,71,24700
70,2022-05-06,72,24900
71,2022-05-07,73,25100
72,2022-05-08,74,25500
73,2022-05-09,75,25650
74,2022-05-10,76,26000
75,2022-05-11,77,26350
76,2022-05-12,78,26650
77,2022-05-13,79,26900
78,2022-05-14,80,27200
79,2022-05-15,81,27400
80,2022-05-16,82,27700
81,2022-05-17,83,27900
82,2022-05-18,84,28300
83,2022-05-19,85,28500
84,2022-05-20,86,28700
85,2022-05-21,87,28850
86,2022-05-22,88,29050
87,2022-05-23,89,29200
88,2022-05-24,90,29350
89,2022-05-25,91,29450
90,2022-05-26,92,29600
91,2022-05-27,93,29750
92,2022-05-28,94,30000
93,2022-05-29,95,30150
94,2022-05-30,96,30350
95,2022-05-31,97,30500
96,2022-06-01,98,30700
97,2022-06-02,99,30850
98,2022-06-03,100,30950
99,2022-06-04,101,31050
100,2022-06-05,102,31150
101,2022-06-06,103,31250
102,2022-06-07,104,31360
103,2022-06-08,105,31500
104,2022-06-09,106,31700
105,2022-06-10,107,31900
106,2022-06-11,108,32050
107,2022-06-12,109,32150
108,2022-06-13,110,32300
109,2022-06-14,111,32500
110,2022-06-15,112,32750
111,2022-06-16,113,32950
112,2022-06-17,114,33150
113,2022-06-18,115,33350
114,2022-06-19,116,33600
115,2022-06-20,117,33800
116,2022-06-21,118,34100
117,2022-06-22,119,34230
118,2022-06-23,120,34430
119,2022-06-24,121,34530
120,2022-06-25,122,34700
121,2022-06-26,123,34850
122,2022-06-27,124,35000
123,2022-06-28,125,35250
124,2022-06-29,126,35450
125,2022-06-30,127,35600
126,2022-07-01,128,35750
127,2022-07-02,129,35870
128,2022-07-03,130,35970
129,2022-07-04,131,36200
130,2022-07-05,132,36350
131,2022-07-06,133,36500
132,2022-07-07,134,36650
133,2022-07-08,135,36900
134,2022-07-09,136,37200
135,2022-07-10,137,37300
136,2022-07-11,138,37400
137,2022-07-12,139,37470
138,2022-07-13,140,37570
139,2022-07-14,141,37870
140,2022-07-15,142,38000
141,2022-07-16,143,38140
142,2022-07-17,144,38300
143,2022-07-18,145,38450
144,2022-07-19,146,38550
145,2022-07-20,147,38750
146,2022-07-21,148,38850
147,2022-07-22,149,39000
148,2022-07-23,150,39240
149,2022-07-24,151,39520
150,2022-07-25,152,39700
151,2022-07-26,153,39870
152,2022-07-27,154,40070
153,2022-07-28,155,40230
154,2022-07-29,156,40500
155,2022-07-30,157,40670
156,2022-07-31,158,40830
157,2022-08-01,159,41030
158,2022-08-02,160,41170
159,2022-08-03,161,41350
160,2022-08-04,162,41500
161,2022-08-05,163,41650
162,2022-08-06,164,41900
163,2022-08-07,165,42200
164,2022-08-08,166,42340
165,2022-08-09,167,42640
166,2022-08-10,168,42800
167,2022-08-11,169,43000
168,2022-08-12,170,43200
169,2022-08-13,171,43400
170,2022-08-14,172,43550
171,2022-08-15,173,43750
172,2022-08-16,174,43900
173,2022-08-17,175,44100
174,2022-08-18,176,44300
175,2022-08-19,177,44700
176,2022-08-20,178,44900
177,2022-08-21,179,45200
178,2022-08-22,180,45400
179,2022-08-23,181,45550
180,2022-08-24,182,45700
181,2022-08-25,183,45850
182,2022-08-26,184,46250
183,2022-08-27,185,46500
184,2022-08-28,186,46750
185,2022-08-29,187,47100
186,2022-08-30,188,47550
187,2022-08-31,189,47900
188,2022-09-01,190,48350
189,2022-09-02,191,48700
190,2022-09-03,192,49050
191,2022-09-04,193,49500
192,2022-09-05,194,49800
193,2022-09-06,195,50150
194,2022-09-07,196,50610
195,2022-09-08,197,51250
196,2022-09-09,198,51900
197,2022-09-10,199,52250
198,2022-09-11,200,52650
199,2022-09-12,201,52950
200,2022-09-13,202,53300
201,2022-09-14,203,53650
202,2022-09-15,204,53850
203,2022-09-16,205,54050
204,2022-09-17,206,54250
205,2022-09-18,207,54480
206,2022-09-19,208,54650
207,2022-09-20,209,54810
208,2022-09-21,210,55110
209,2022-09-22,211,55510
210,2022-09-23,212,56060
211,2022-09-24,213,56300
212,2022-09-25,214,56700
213,2022-09-26,215,57200
214,2022-09-27,216,57750
215,2022-09-28,217,58150
216,2022-09-29,218,58580
217,2022-09-30,219,59080
218,2022-10-01,220,59610
219,2022-10-02,221,60110
220,2022-10-03,222,60430
221,2022-10-04,223,60800
222,2022-10-05,224,61000
223,2022-10-06,225,61330
224,2022-10-07,226,61680
225,2022-10-08,227,62060
226,2022-10-09,228,62500
